EmployeeID,Name,Department,Age,Salary,YearsExperience,PerformanceScore,SalaryPerExpYear
1,Employee_1,Finance,27,115982.0,6.3,1.0,18409.841269841272
2,Employee_2,Marketing,25,25206.0,6.2,8.0,4065.483870967742
3,Employee_3,HR,50,112054.0,17.4,4.0,6439.885057471265
4,Employee_4,Marketing,39,112897.0,17.8,1.0,6342.52808988764
5,Employee_5,Marketing,47,,3.7,8.0,
6,Employee_6,IT,55,75636.0,,4.0,
7,Employee_7,HR,31,75015.0,,6.0,
8,Employee_8,HR,57,79268.0,24.4,8.0,3248.688524590164
9,Employee_9,HR,35,112939.0,10.3,4.0,10964.951456310679
10,Employee_10,Marketing,52,43141.0,0.8,3.0,53926.25
11,Employee_11,Finance,36,105356.0,8.6,,12250.697674418605
12,Employee_12,HR,29,96910.0,15.9,3.0,6094.968553459119
13,Employee_13,Marketing,35,81044.0,17.0,9.0,4767.294117647059
14,Employee_14,IT,44,92214.0,13.3,2.0,6933.383458646616
15,Employee_15,Finance,42,58827.0,11.2,2.0,5252.410714285715
16,Employee_16,IT,37,80820.0,13.8,2.0,5856.521739130434
17,Employee_17,Finance,39,87623.0,14.8,6.0,5920.4729729729725
18,Employee_18,Marketing,45,106734.0,2.0,3.0,53367.0
19,Employee_19,Sales,47,,9.2,9.0,
20,Employee_20,Finance,46,118426.0,6.1,4.0,19414.09836065574
21,Employee_21,IT,50,47299.0,20.1,1.0,2353.18407960199
22,Employee_22,Marketing,36,68585.0,11.8,4.0,5812.28813559322
23,Employee_23,Finance,22,89044.0,24.6,1.0,3619.6747967479673
24,Employee_24,Sales,46,67557.0,10.0,5.0,6755.7
25,Employee_25,Sales,28,74080.0,20.4,4.0,3631.372549019608
26,Employee_26,HR,30,27693.0,20.0,8.0,1384.65
27,Employee_27,HR,45,94163.0,3.8,8.0,24779.736842105263
28,Employee_28,IT,22,50939.0,,7.0,
29,Employee_29,Finance,29,73925.0,17.4,,4248.563218390805
30,Employee_30,Finance,45,67941.0,21.5,1.0,3160.046511627907
31,Employee_31,HR,32,46834.0,8.1,1.0,5781.975308641976
32,Employee_32,Finance,38,43047.0,5.5,3.0,7826.727272727273
33,Employee_33,Finance,29,51105.0,17.8,6.0,2871.067415730337
34,Employee_34,Sales,56,100766.0,20.2,7.0,4988.415841584158
35,Employee_35,HR,56,40707.0,8.7,6.0,4678.9655172413795
36,Employee_36,Marketing,54,46976.0,2.4,6.0,19573.333333333336
37,Employee_37,HR,26,69262.0,23.5,6.0,2947.31914893617
38,Employee_38,Marketing,49,48776.0,9.9,3.0,4926.868686868686
39,Employee_39,Sales,28,55080.0,12.9,6.0,4269.767441860465
40,Employee_40,IT,30,91842.0,20.9,8.0,4394.354066985647
41,Employee_41,Finance,29,86373.0,16.9,2.0,5110.828402366864
42,Employee_42,Sales,33,31776.0,18.4,5.0,1726.9565217391305
43,Employee_43,Finance,55,117787.0,5.2,1.0,22651.346153846152
44,Employee_44,IT,54,,13.5,1.0,
45,Employee_45,IT,44,34474.0,17.4,5.0,1981.264367816092
46,Employee_46,Sales,45,83053.0,5.7,3.0,14570.701754385964
47,Employee_47,IT,58,46959.0,4.4,4.0,10672.5
48,Employee_48,Marketing,56,30530.0,24.6,,1241.0569105691056
49,Employee_49,IT,43,119856.0,12.9,1.0,9291.162790697674
50,Employee_50,Finance,48,28748.0,6.5,1.0,4422.7692307692305
51,Employee_51,Finance,56,38545.0,24.9,5.0,1547.991967871486
52,Employee_52,Finance,22,91199.0,24.1,6.0,3784.190871369294
53,Employee_53,Finance,56,59766.0,14.0,3.0,4269.0
54,Employee_54,Marketing,58,98530.0,22.1,9.0,4458.371040723981
55,Employee_55,HR,35,118557.0,4.7,5.0,25224.893617021276
56,Employee_56,Sales,24,86087.0,7.0,8.0,12298.142857142857
57,Employee_57,Finance,22,93840.0,17.5,1.0,5362.285714285715
58,Employee_58,IT,26,79384.0,21.2,5.0,3744.5283018867926
59,Employee_59,Finance,47,76005.0,21.4,3.0,3551.635514018692
60,Employee_60,IT,35,71576.0,10.1,1.0,7086.732673267327
6,Employee_6,IT,55,75636.0,,4.0,
11,Employee_11,Finance,36,105356.0,8.6,,12250.697674418605
21,Employee_21,IT,50,47299.0,20.1,1.0,2353.18407960199
